rank,eng,deu,fra,ita,nld,por,spa
2532,route,Route,itinéraire,percorso,route,rota,ruta
2535,broken,kaputt,cassé,rotto,gebroken,quebrado,roto
2540,blow,blasen,souffler,soffiare,blazen,soprar,soplar
2541,battle,Schlacht,bataille,battaglia,veldslag,batalha,batalla
2543,anime,Anime,animé,anime,anime,anime,anime
2544,speak,sprechen,parler,parlare,spreken,falar,hablar
2547,protocol,Protokoll,protocole,protocollo,protocol,protocolo,protocolo
2548,query,Anfrage,requête,interrogazione,vraag,consulta,consulta
2550,partnership,Partnerschaft,partenariat,partenariato,partnerschap,parceria,asociación
2551,editorial,redaktionell,éditorial,editoriale,redactioneel,editorial,editorial
2553,expression,Ausdruck,expression,espressione,uitdrukking,expressão,expresión
2557,speech,Rede,discours,discorso,toespraak,discurso,discurso
2558,wire,Draht,fil,filo,draad,arame,alambre
2561,rural,ländlich,rural,rurale,landelijk,rural,rural
2564,replacement,Ersatz,remplacement,sostituzione,vervanging,substituição,reemplazo
2565,tape,Klebeband,ruban,nastro,plakband,fita,cinta
2566,strategic,strategisch,stratégique,strategico,strategisch,estratégico,estratégico
2567,judge,Richter,juge,giudice,rechter,juiz,juez
2568,spam,Spam,spam,spam,spam,spam,spam
2569,economics,Wirtschaftswissenschaft,économie,economia,economie,economia,economía
2570,acid,Säure,acide,acido,zuur,ácido,ácido
2572,cent,Cent,centime,centesimo,cent,cêntimo,centavo
2574,compatible,kompatibel,compatible,compatibile,compatibel,compatível,compatible
2575,fight,kämpfen,combattre,combattere,vechten,lutar,luchar
2576,apartment,Wohnung,appartement,appartamento,appartement,apartamento,apartamento
2577,height,Höhe,hauteur,altezza,hoogte,altura,altura
2580,speaker,Lautsprecher,haut-parleur,altoparlante,luidspreker,altifalante,altavoz
2584,obtain,erhalten,obtenir,ottenere,verkrijgen,obter,obtener
2586,consulting,Beratung,conseil,consulenza,advies,consultoria,consultoría
2587,recreation,Freizeit,loisir,svago,recreatie,recreio,recreación
2589,designer,Designer,designer,designer,ontwerper,designer,diseñador
2590,remain,bleiben,rester,rimanere,blijven,permanecer,permanecer
2593,failed,fehlgeschlagen,échoué,fallito,mislukt,falhado,fallido
2594,marriage,Ehe,mariage,matrimonio,huwelijk,casamento,matrimonio
2600,secret,Geheimnis,secret,segreto,geheim,segredo,secreto
2601,bath,Bad,bain,bagno,bad,banho,baño
2605,negative,negativ,négatif,negativo,negatief,negativo,negativo
2609,theater,Theater,théâtre,teatro,theater,teatro,teatro
2614,perform,durchführen,exécuter,eseguire,uitvoeren,executar,realizar
2615,healthy,gesund,sain,sano,gezond,saudável,sano
2616,translation,Übersetzung,traduction,traduzione,vertaling,tradução,traducción
2618,font,Schriftart,police,carattere,lettertype,fonte,fuente
2620,injury,Verletzung,blessure,ferita,verwonding,lesão,lesión
2623,ministry,Ministerium,ministère,ministero,ministerie,ministério,ministerio
2625,lawyer,Anwalt,avocat,avvocato,advocaat,advogado,abogado
2627,married,verheiratet,marié,sposato,getrouwd,casado,casado
2628,protected,geschützt,protégé,protetto,beschermd,protegido,protegido
2629,proposal,Vorschlag,proposition,proposta,voorstel,proposta,propuesta
2632,portal,Portal,portail,portale,portaal,portal,portal
2634,birthday,Geburtstag,anniversaire,compleanno,verjaardag,aniversário,cumpleaños
2636,fail,scheitern,échouer,fallire,falen,falhar,fracasar
2638,banking,Bankwesen,banque,bancario,bankwezen,bancário,banca
2644,assist,helfen,aider,assistere,helpen,ajudar,ayudar
2645,conduct,durchführen,mener,condurre,uitvoeren,conduzir,conducir
2649,legislation,Gesetzgebung,législation,legislazione,wetgeving,legislação,legislación
2652,jazz,Jazz,jazz,jazz,jazz,jazz,jazz
2659,houses,Haus,maison,casa,huis,casa,casa
2664,wear,tragen,porter,indossare,dragen,vestir,llevar
2668,ultimate,ultimativ,ultime,ultimo,ultiem,definitivo,definitivo
2671,frequency,Frequenz,fréquence,frequenza,frequentie,frequência,frecuencia
2673,minor,geringfügig,mineur,minore,gering,menor,menor
2674,finish,beenden,finir,finire,beëindigen,terminar,terminar
2676,residents,Bewohner,résident,residente,bewoner,residente,residente
2679,mom,Mama,maman,mamma,mama,mãe,mamá
2681,physics,Physik,physique,fisica,natuurkunde,física,física
2682,rare,selten,rare,raro,zeldzaam,raro,raro
2685,extreme,extrem,extrême,estremo,extreem,extremo,extremo
2686,samples,Probe,échantillon,campione,monster,amostra,muestra
2689,bars,Bar,bar,bar,bar,bar,bar
2691,row,Reihe,rangée,fila,rij,fila,fila
2693,forecast,Vorhersage,prévision,previsione,voorspelling,previsão,pronóstico
2698,cycle,Zyklus,cycle,ciclo,cyclus,ciclo,ciclo
2700,contain,enthalten,contenir,contenere,bevatten,conter,contener
2701,accuracy,Genauigkeit,précision,precisione,nauwkeurigheid,precisão,precisión
2703,rise,steigen,monter,salire,stijgen,subir,subir
2705,sleep,schlafen,dormir,dormire,slapen,dormir,dormir
2707,bird,Vogel,oiseau,uccello,vogel,pássaro,pájaro
2708,pharmacy,Apotheke,pharmacie,farmacia,apotheek,farmácia,farmacia
2710,creation,Schöpfung,création,creazione,schepping,criação,creación
2712,scene,Szene,scène,scena,scène,cena,escena
2713,hunter,Jäger,chasseur,cacciatore,jager,caçador,cazador
2715,lady,Dame,dame,signora,dame,senhora,dama
2716,crystal,Kristall,cristal,cristallo,kristal,cristal,cristal
2717,famous,berühmt,célèbre,famoso,beroemd,famoso,famoso
2718,writer,Schriftsteller,écrivain,scrittore,schrijver,escritor,escritor
2720,violence,Gewalt,violence,violenza,geweld,violência,violencia
2724,drink,trinken,boire,bere,drinken,beber,beber
2726,dynamic,dynamisch,dynamique,dinamico,dynamisch,dinâmico,dinámico
2727,gender,Geschlecht,genre,genere,geslacht,género,género
2728,eat,essen,manger,mangiare,eten,comer,comer
2729,permanent,dauerhaft,permanent,permanente,permanent,permanente,permanente
2730,agriculture,Landwirtschaft,agriculture,agricoltura,landbouw,agricultura,agricultura
2732,cleaning,Reinigung,nettoyage,pulizia,reiniging,limpeza,limpieza
2734,portfolio,Portfolio,portfolio,portafoglio,portfolio,portefólio,portafolio
2735,practical,praktisch,pratique,pratico,praktisch,prático,práctico
2738,infrastructure,Infrastruktur,infrastructure,infrastruttura,infrastructuur,infraestrutura,infraestructura
2739,exclusive,exklusiv,exclusif,esclusivo,exclusief,exclusivo,exclusivo
2740,seat,Sitz,siège,posto,zitplaats,assento,asiento
2742,colour,Farbe,couleur,colore,kleur,cor,color
2743,vendor,Verkäufer,vendeur,venditore,verkoper,vendedor,vendedor
2747,philosophy,Philosophie,philosophie,filosofia,filosofie,filosofia,filosofía
2748,regulation,Regelung,réglementation,regolamento,regelgeving,regulamento,reglamento
2750,reduction,Reduktion,réduction,riduzione,vermindering,redução,reducción
2751,aim,Ziel,but,scopo,doel,objetivo,objetivo
2755,nutrition,Ernährung,nutrition,nutrizione,voeding,nutrição,nutrición
2756,recording,Aufnahme,enregistrement,registrazione,opname,gravação,grabación
2758,junior,Junior,junior,junior,junior,júnior,júnior
2763,rings,Ring,bague,anello,ring,anel,anillo
2764,meaning,Bedeutung,signification,significato,betekenis,significado,significado
2766,secondary,sekundär,secondaire,secondario,secundair,secundário,secundario
2767,wonderful,wunderbar,merveilleux,meraviglioso,prachtig,maravilhoso,maravilloso
2771,ticket,Fahrkarte,billet,biglietto,kaartje,bilhete,billete
2773,guess,raten,deviner,indovinare,raden,adivinhar,adivinar
2775,prevention,Vorbeugung,prévention,prevenzione,preventie,prevenção,prevención
2777,ski,Ski,ski,sci,ski,esqui,esquí
2778,soccer,Fußball,football,calcio,voetbal,futebol,fútbol
2779,math,Mathematik,mathématiques,matematica,wiskunde,matemática,matemáticas
2782,presence,Anwesenheit,présence,presenza,aanwezigheid,presença,presencia
2785,automatic,automatisch,automatique,automatico,automatisch,automático,automático
2790,majority,Mehrheit,majorité,maggioranza,meerderheid,maioria,mayoría
2795,dogs,Hund,chien,cane,hond,cão,perro
2797,directors,Direktor,directeur,direttore,directeur,diretor,director
2802,participation,Teilnahme,participation,partecipazione,deelname,participação,participación
2806,fly,fliegen,voler,volare,vliegen,voar,volar
2808,matrix,Matrix,matrice,matrice,matrix,matriz,matriz
2810,combination,Kombination,combinaison,combinazione,combinatie,combinação,combinación
2812,amendment,Änderung,amendement,emendamento,wijziging,emenda,enmienda
2814,strength,Stärke,force,forza,kracht,força,fuerza
2816,turkey,Truthahn,dinde,tacchino,kalkoen,peru,pavo
2817,libraries,Bibliothek,bibliothèque,biblioteca,bibliotheek,biblioteca,biblioteca
2823,delta,Delta,delta,delta,delta,delta,delta
2824,fear,Angst,peur,paura,angst,medo,miedo
2826,inches,Zoll,pouce,pollice,inch,polegada,pulgada
2829,convention,Tagung,convention,convenzione,conventie,convenção,convención
2832,daughter,Tochter,fille,figlia,dochter,filha,hija
2835,comfort,Komfort,confort,comfort,comfort,conforto,confort
2836,colors,Farbe,couleur,colore,kleur,cor,color
2837,wars,Krieg,guerre,guerra,oorlog,guerra,guerra
2842,appeal,Appell,appel,appello,oproep,apelo,apelación
2843,cruise,Kreuzfahrt,croisière,crociera,cruise,cruzeiro,crucero
2844,bonus,Bonus,bonus,bonus,bonus,bónus,bono
2845,certification,Zertifizierung,certification,certificazione,certificering,certificação,certificación
2849,buildings,Gebäude,bâtiment,edificio,gebouw,edifício,edificio
2853,household,Haushalt,ménage,famiglia,huishouden,lar,hogar
2854,batteries,Batterie,pile,batteria,batterij,pilha,pila
2856,smoking,Rauchen,fumer,fumare,roken,fumar,fumar
2862,tea,Tee,thé,tè,thee,chá,té
2864,trees,Baum,arbre,albero,boom,árvore,árbol
2866,achieve,erreichen,atteindre,raggiungere,bereiken,alcançar,lograr
2868,dress,Kleid,robe,vestito,jurk,vestido,vestido
2869,subscription,Abonnement,abonnement,abbonamento,abonnement,assinatura,suscripción
2870,dealer,Händler,marchand,commerciante,handelaar,comerciante,comerciante
2871,contemporary,zeitgenössisch,contemporain,contemporaneo,hedendaags,contemporâneo,contemporáneo
2872,sky,Himmel,ciel,cielo,hemel,céu,cielo
2877,happen,passieren,arriver,accadere,gebeuren,acontecer,suceder
2878,exposure,Aussetzung,exposition,esposizione,blootstelling,exposição,exposición
2880,hide,verstecken,cacher,nascondere,verbergen,esconder,esconder
2882,signature,Unterschrift,signature,firma,handtekening,assinatura,firma
2886,provision,Bestimmung,disposition,disposizione,bepaling,disposição,disposición
2887,outdoors,draußen,dehors,fuori,buiten,fora,fuera
2888,clothes,Kleidung,vêtement,vestito,kleding,roupa,ropa
2890,luxury,Luxus,luxe,lusso,luxe,luxo,lujo
2896,newspaper,Zeitung,journal,giornale,krant,jornal,periódico
2897,toy,Spielzeug,jouet,giocattolo,speelgoed,brinquedo,juguete
2898,circuit,Schaltkreis,circuit,circuito,circuit,circuito,circuito
2899,layer,Schicht,couche,strato,laag,camada,capa
2901,slow,langsam,lent,lento,langzaam,lento,lento
2906,trademark,Warenzeichen,marque,marchio,handelsmerk,marca,marca
2907,hip,Hüfte,hanche,anca,heup,quadril,cadera
2915,spot,Fleck,tache,macchia,vlek,mancha,mancha
2919,spend,ausgeben,dépenser,spendere,uitgeven,gastar,gastar
2920,factory,Fabrik,usine,fabbrica,fabriek,fábrica,fábrica
2921,interior,Innenraum,intérieur,interno,interieur,interior,interior
2923,grow,wachsen,grandir,crescere,groeien,crescer,crecer
2925,optical,optisch,optique,ottico,optisch,óptico,óptico
2926,promotion,Beförderung,promotion,promozione,promotie,promoção,promoción
2928,amazing,erstaunlich,étonnant,sorprendente,verbazingwekkend,espantoso,asombroso
2929,clock,Uhr,horloge,orologio,klok,relógio,reloj
2930,dot,Punkt,point,punto,punt,ponto,punto
2932,identity,Identität,identité,identità,identiteit,identidade,identidad
2934,conversion,Umwandlung,conversion,conversione,conversie,conversão,conversión
2935,feeling,Gefühl,sentiment,sentimento,gevoel,sentimento,sentimiento
2936,hidden,versteckt,caché,nascosto,verborgen,escondido,escondido
2937,reasonable,vernünftig,raisonnable,ragionevole,redelijk,razoável,razonable
2940,relief,Erleichterung,soulagement,sollievo,opluchting,alívio,alivio
2943,influence,Einfluss,influence,influenza,invloed,influência,influencia
2944,ratio,Verhältnis,ratio,rapporto,verhouding,proporção,proporción
2946,importance,Wichtigkeit,importance,importanza,belang,importância,importancia
2947,rain,Regen,pluie,pioggia,regen,chuva,lluvia
2950,planet,Planet,planète,pianeta,planeet,planeta,planeta
2953,recipe,Rezept,recette,ricetta,recept,receita,receta
2955,permit,Erlaubnis,permis,permesso,vergunning,licença,permiso
2957,proof,Beweis,preuve,prova,bewijs,prova,prueba
2960,tennis,Tennis,tennis,tennis,tennis,ténis,tenis
2962,prescription,Rezept,ordonnance,ricetta,recept,receita,receta
2963,bedroom,Schlafzimmer,chambre,camera,slaapkamer,quarto,dormitorio
2964,empty,leer,vide,vuoto,leeg,vazio,vacío
2966,hole,Loch,trou,buco,gat,buraco,agujero
2968,ride,reiten,monter,cavalcare,rijden,montar,montar
2973,bureau,Büro,bureau,ufficio,bureau,escritório,oficina
2976,represent,vertreten,représenter,rappresentare,vertegenwoordigen,representar,representar
2977,conservation,Naturschutz,conservation,conservazione,natuurbehoud,conservação,conservación
2978,pair,Paar,paire,paio,paar,par,par
2979,ideal,ideal,idéal,ideale,ideaal,ideal,ideal
2986,dinner,Abendessen,dîner,cena,avondeten,jantar,cena
2989,stress,Stress,stress,stress,stress,stress,estrés
2990,cream,Sahne,crème,panna,room,nata,nata
2995,discover,entdecken,découvrir,scoprire,ontdekken,descobrir,descubrir
3003,fourth,vierter,quatrième,quarto,vierde,quarto,cuarto
3005,advisor,Berater,conseiller,consigliere,adviseur,conselheiro,asesor
3007,marketplace,Marktplatz,marché,mercato,marktplaats,mercado,mercado
3009,evil,böse,maléfique,malvagio,kwaad,maligno,malvado
3012,shape,Form,forme,forma,vorm,forma,forma
3013,evolution,Evolution,évolution,evoluzione,evolutie,evolução,evolución
3026,euro,Euro,euro,euro,euro,euro,euro
3027,operator,Bediener,opérateur,operatore,operator,operador,operador
3030,encyclopedia,Enzyklopädie,encyclopédie,enciclopedia,encyclopedie,enciclopédia,enciclopedia
3032,cap,Mütze,casquette,berretto,pet,boné,gorra
3033,ink,Tinte,encre,inchiostro,inkt,tinta,tinta
3038,interracial,interrassisch,interracial,interrazziale,interraciaal,inter-racial,interracial
3041,competitive,wettbewerbsfähig,compétitif,competitivo,competitief,competitivo,competitivo
3042,exist,existieren,exister,esistere,bestaan,existir,existir
3043,wheel,Rad,roue,ruota,wiel,roda,rueda
3047,salt,Salz,sel,sale,zout,sal,sal
3049,poetry,Poesie,poésie,poesia,poëzie,poesia,poesía
3052,angel,Engel,ange,angelo,engel,anjo,ángel
3053,bell,Glocke,cloche,campana,bel,sino,campana
3055,preparation,Vorbereitung,préparation,preparazione,voorbereiding,preparação,preparación
3056,attempt,Versuch,tentative,tentativo,poging,tentativa,intento
3060,width,Breite,largeur,larghezza,breedte,largura,anchura
3061,noise,Lärm,bruit,rumore,lawaai,ruído,ruido
3063,forget,vergessen,oublier,dimenticare,vergeten,esquecer,olvidar
3066,accurate,genau,précis,preciso,nauwkeurig,preciso,preciso
3069,climate,Klima,climat,clima,klimaat,clima,clima
3071,pin,Stecknadel,épingle,spillo,speld,alfinete,alfiler
3073,alcohol,Alkohol,alcool,alcol,alcohol,álcool,alcohol
3075,instruction,Anweisung,instruction,istruzione,instructie,instrução,instrucción
3078,sister,Schwester,sœur,sorella,zus,irmã,hermana
3079,raw,roh,cru,crudo,rauw,cru,crudo
3082,explain,erklären,expliquer,spiegare,uitleggen,explicar,explicar
3085,establish,gründen,établir,stabilire,vestigen,estabelecer,establecer
3091,sharp,scharf,tranchant,affilato,scherp,afiado,afilado
3094,lane,Spur,voie,corsia,rijstrook,faixa,carril
3095,paragraph,Absatz,paragraphe,paragrafo,paragraaf,parágrafo,párrafo
3096,kill,töten,tuer,uccidere,doden,matar,matar
3097,mathematics,Mathematik,mathématiques,matematica,wiskunde,matemática,matemáticas
3099,compensation,Entschädigung,compensation,compensazione,compensatie,compensação,compensación
3101,export,exportieren,exporter,esportare,exporteren,exportar,exportar
3103,aircraft,Flugzeug,avion,aereo,vliegtuig,avião,avión
3106,conflict,Konflikt,conflit,conflitto,conflict,conflito,conflicto
3110,occur,auftreten,survenir,verificarsi,gebeuren,ocorrer,ocurrir
3111,percentage,Prozentsatz,pourcentage,percentuale,percentage,percentagem,porcentaje
3114,describe,beschreiben,décrire,descrivere,beschrijven,descrever,describir
3118,citizen,Bürger,citoyen,cittadino,burger,cidadão,ciudadano
3120,heritage,Erbe,patrimoine,patrimonio,erfgoed,património,patrimonio
3122,immediate,unmittelbar,immédiat,immediato,onmiddellijk,imediato,inmediato
3124,trouble,Ärger,ennui,guaio,probleem,problema,problema
3126,coach,Trainer,entraîneur,allenatore,coach,treinador,entrenador
3128,agricultural,landwirtschaftlich,agricole,agricolo,agrarisch,agrícola,agrícola
3129,expand,erweitern,élargir,espandere,uitbreiden,expandir,expandir
3131,audience,Publikum,public,pubblico,publiek,público,público
3136,participate,teilnehmen,participer,partecipare,deelnemen,participar,participar
3137,plug,Stecker,prise,spina,stekker,ficha,enchufe
3138,specialist,Spezialist,spécialiste,specialista,specialist,especialista,especialista
3139,cook,kochen,cuisiner,cucinare,koken,cozinhar,cocinar
3143,investigation,Untersuchung,enquête,indagine,onderzoek,investigação,investigación
3145,hat,Hut,chapeau,cappello,hoed,chapéu,sombrero
3146,institution,Institution,institution,istituzione,instelling,instituição,institución
3155,bike,Fahrrad,vélo,bicicletta,fiets,bicicleta,bicicleta
3157,plate,Teller,assiette,piatto,bord,prato,plato
3160,blonde,blond,blond,biondo,blond,louro,rubio
3163,favourite,Liebling,favori,favorito,favoriet,favorito,favorito
3164,transmission,Übertragung,transmission,trasmissione,transmissie,transmissão,transmisión
3169,lose,verlieren,perdre,perdere,verliezen,perder,perder
3170,organic,organisch,organique,organico,organisch,orgânico,orgánico
3171,seek,suchen,chercher,cercare,zoeken,procurar,buscar
3183,equivalent,gleichwertig,équivalent,equivalente,gelijkwaardig,equivalente,equivalente
3184,chemistry,Chemie,chimie,chimica,scheikunde,química,química
3186,neighborhood,Nachbarschaft,quartier,quartiere,buurt,bairro,vecindario
3191,agenda,Tagesordnung,agenda,agenda,agenda,agenda,agenda
3197,curriculum,Lehrplan,programme,curriculum,leerplan,currículo,currículo
3198,logic,Logik,logique,logica,logica,lógica,lógica
3199,template,Vorlage,modèle,modello,sjabloon,modelo,plantilla
3201,circle,Kreis,cercle,cerchio,cirkel,círculo,círculo
3202,soil,Boden,sol,suolo,bodem,solo,suelo
3205,psychology,Psychologie,psychologie,psicologia,psychologie,psicologia,psicología
3208,wet,nass,mouillé,bagnato,nat,molhado,mojado
3211,investor,Investor,investisseur,investitore,investeerder,investidor,inversor
3212,identification,Identifikation,identification,identificazione,identificatie,identificação,identificación
3215,wildlife,Tierwelt,faune,fauna,fauna,fauna,fauna
3219,cooking,Kochen,cuisine,cucina,koken,culinária,cocina
3224,respond,antworten,répondre,rispondere,antwoorden,responder,responder
3227,exit,Ausgang,sortie,uscita,uitgang,saída,salida
3230,arm,Arm,bras,braccio,arm,braço,brazo
3232,launch,starten,lancer,lanciare,lanceren,lançar,lanzar
3233,wave,Welle,vague,onda,golf,onda,ola
3238,holy,heilig,saint,santo,heilig,santo,santo
3240,guidance,Anleitung,orientation,guida,begeleiding,orientação,orientación
3241,mesh,Netz,maille,maglia,gaas,malha,malla
3242,trail,Pfad,sentier,sentiero,pad,trilho,sendero
3244,symbol,Symbol,symbole,simbolo,symbool,símbolo,símbolo
3246,highway,Autobahn,autoroute,autostrada,snelweg,autoestrada,autopista
3252,poll,Umfrage,sondage,sondaggio,peiling,sondagem,encuesta
3254,glossary,Glossar,glossaire,glossario,woordenlijst,glossário,glosario
3255,fiscal,steuerlich,fiscal,fiscale,fiscaal,fiscal,fiscal
3256,celebrity,Berühmtheit,célébrité,celebrità,beroemdheid,celebridade,celebridad
3261,bond,Bindung,lien,legame,band,vínculo,vínculo
3264,appendix,Anhang,annexe,appendice,bijlage,anexo,apéndice
3265,notify,benachrichtigen,notifier,notificare,melden,notificar,notificar
3267,chocolate,Schokolade,chocolat,cioccolato,chocolade,chocolate,chocolate
3268,pub,Kneipe,pub,pub,kroeg,pub,pub
3269,portion,Portion,portion,porzione,portie,porção,porción
3272,supplier,Lieferant,fournisseur,fornitore,leverancier,fornecedor,proveedor
3274,cotton,Baumwolle,coton,cotone,katoen,algodão,algodón
3276,controlled,kontrolliert,contrôlé,controllato,gecontroleerd,controlado,controlado
3277,requirement,Anforderung,exigence,requisito,vereiste,requisito,requisito
3278,authorities,Behörde,autorité,autorità,autoriteit,autoridade,autoridad
3279,biology,Biologie,biologie,biologia,biologie,biologia,biología
3280,dental,zahnärztlich,dentaire,dentale,tandheelkundig,dentário,dental
3281,killed,getötet,tué,ucciso,gedood,morto,matado
3282,border,Grenze,frontière,frontiera,grens,fronteira,frontera
3283,ancient,antik,antique,antico,oud,antigo,antiguo
3284,debate,Debatte,débat,dibattito,debat,debate,debate
3285,representatives,Vertreter,représentant,rappresentante,vertegenwoordiger,representante,representante
3287,pregnancy,Schwangerschaft,grossesse,gravidanza,zwangerschap,gravidez,embarazo
3290,biography,Biografie,biographie,biografia,biografie,biografia,biografía
3291,leisure,Freizeit,loisir,svago,vrije tijd,lazer,ocio
3293,learned,gelernt,appris,imparato,geleerd,aprendido,aprendido
3294,transactions,Transaktion,transaction,transazione,transactie,transação,transacción
3295,notebook,Notizbuch,carnet,quaderno,notitieboek,caderno,cuaderno
3296,explorer,Entdecker,explorateur,esploratore,ontdekkingsreiziger,explorador,explorador
3297,historic,historisch,historique,storico,historisch,histórico,histórico
3298,attached,beigefügt,attaché,allegato,bijgevoegd,anexado,adjuntado
3299,opened,geöffnet,ouvert,aperto,geopend,aberto,abierto
3301,husband,Ehemann,mari,marito,echtgenoot,marido,marido
3302,disabled,behindert,handicapé,disabile,gehandicapt,deficiente,discapacitado
3303,authorized,autorisiert,autorisé,autorizzato,geautoriseerd,autorizado,autorizado
3304,crazy,verrückt,fou,pazzo,gek,louco,loco
3305,upcoming,bevorstehend,prochain,prossimo,aanstaand,próximo,próximo
3307,concert,Konzert,concert,concerto,concert,concerto,concierto
3308,retirement,Ruhestand,retraite,pensionamento,pensioen,reforma,jubilación
3310,financing,Finanzierung,financement,finanziamento,financiering,financiamento,financiación
3311,efficiency,Effizienz,efficacité,efficienza,efficiëntie,eficiência,eficiencia
3313,comedy,Komödie,comédie,commedia,komedie,comédia,comedia
3314,adopted,adoptiert,adopté,adottato,geadopteerd,adotado,adoptado
3315,efficient,effizient,efficace,efficiente,efficiënt,eficiente,eficiente
3317,linear,linear,linéaire,lineare,lineair,linear,lineal
3318,commitment,Verpflichtung,engagement,impegno,verplichting,compromisso,compromiso
3319,specialty,Spezialität,spécialité,specialità,specialiteit,especialidade,especialidad
3322,hop,hüpfen,sauter,saltellare,huppelen,saltar,saltar
3323,carrier,Träger,transporteur,vettore,vervoerder,transportadora,transportista
3324,edited,bearbeitet,édité,modificato,bewerkt,editado,editado
3325,constant,konstant,constant,costante,constant,constante,constante
3326,visa,Visum,visa,visto,visum,visto,visado
3327,mouth,Mund,bouche,bocca,mond,boca,boca
3328,jewish,jüdisch,juif,ebraico,joods,judeu,judío
3329,meter,Meter,mètre,metro,meter,metro,metro
3330,linked,verknüpft,lié,collegato,gekoppeld,ligado,vinculado
3332,interviews,Interview,entretien,intervista,interview,entrevista,entrevista
3333,concepts,Konzept,concept,concetto,concept,conceito,concepto
3335,gun,Waffe,pistolet,pistola,vuurwapen,arma,arma
3336,reflect,reflektieren,refléter,riflettere,weerspiegelen,refletir,reflejar
3337,pure,rein,pur,puro,puur,puro,puro
3338,deliver,liefern,livrer,consegnare,leveren,entregar,entregar
3340,hell,Hölle,enfer,inferno,hel,inferno,infierno
3341,lessons,Lektion,leçon,lezione,les,lição,lección
3342,fruit,Frucht,fruit,frutto,vrucht,fruta,fruta
3344,qualified,qualifiziert,qualifié,qualificato,gekwalificeerd,qualificado,calificado
3345,reform,Reform,réforme,riforma,hervorming,reforma,reforma
3346,lens,Linse,lentille,lente,lens,lente,lente
3348,treated,behandelt,traité,trattato,behandeld,tratado,tratado
3349,discovery,Entdeckung,découverte,scoperta,ontdekking,descoberta,descubrimiento
3352,classified,klassifiziert,classifié,classificato,geclassificeerd,classificado,clasificado
3354,assume,annehmen,supposer,supporre,aannemen,assumir,suponer
3355,confidence,Vertrauen,confiance,fiducia,vertrouwen,confiança,confianza
3356,alliance,Allianz,alliance,alleanza,alliantie,aliança,alianza
3358,confirm,bestätigen,confirmer,confermare,bevestigen,confirmar,confirmar
3359,warm,warm,chaud,caldo,warm,quente,cálido
3363,offline,offline,hors ligne,offline,offline,offline,desconectado
3365,engineer,Ingenieur,ingénieur,ingegnere,ingenieur,engenheiro,ingeniero
3366,lifestyle,Lebensstil,style de vie,stile di vita,levensstijl,estilo de vida,estilo de vida
3367,consistent,konsistent,cohérent,coerente,consistent,consistente,consistente
3368,replace,ersetzen,remplacer,sostituire,vervangen,substituir,reemplazar
3369,clearance,Freigabe,autorisation,autorizzazione,goedkeuring,autorização,autorización
3370,connections,Verbindung,connexion,connessione,verbinding,conexão,conexión
3371,inventory,Inventar,inventaire,inventario,inventaris,inventário,inventario
3372,converter,Wandler,convertisseur,convertitore,omvormer,conversor,convertidor
3374,organisation,Organisation,organisation,organizzazione,organisatie,organização,organización
3380,safari,Safari,safari,safari,safari,safari,safari
3383,sugar,Zucker,sucre,zucchero,suiker,açúcar,azúcar
3384,crew,Besatzung,équipage,equipaggio,bemanning,tripulação,tripulación
3393,genre,Genre,genre,genere,genre,género,género
3396,volunteer,Freiwilliger,bénévole,volontario,vrijwilliger,voluntário,voluntario
3400,enhance,verbessern,améliorer,migliorare,verbeteren,melhorar,mejorar
3404,parameter,Parameter,paramètre,parametro,parameter,parâmetro,parámetro
3405,adapter,Adapter,adaptateur,adattatore,adapter,adaptador,adaptador
3406,processor,Prozessor,processeur,processore,processor,processador,procesador
3407,node,Knoten,nœud,nodo,knooppunt,nó,nodo
3408,formal,formell,formel,formale,formeel,formal,formal
3410,contribute,beitragen,contribuer,contribuire,bijdragen,contribuir,contribuir
3411,lock,Schloss,serrure,serratura,slot,fechadura,cerradura
3412,hockey,Hockey,hockey,hockey,hockey,hóquei,hockey
3413,storm,Sturm,tempête,tempesta,storm,tempestade,tormenta
3415,college,Hochschule,université,college,hogeschool,faculdade,universidad
3417,mile,Meile,mile,miglio,mijl,milha,milla
3420,editor,Redakteur,rédacteur,redattore,redacteur,editor,editor
3422,thread,Faden,fil,filo,draad,fio,hilo
3423,bowl,Schüssel,bol,ciotola,kom,tigela,cuenco
3425,brother,Bruder,frère,fratello,broer,irmão,hermano
3426,recognition,Anerkennung,reconnaissance,riconoscimento,erkenning,reconhecimento,reconocimiento
3429,tank,Panzer,char,carro armato,tank,tanque,tanque
3431,doll,Puppe,poupée,bambola,pop,boneca,muñeca
3432,estimate,schätzen,estimer,stimare,schatten,estimar,estimar
3433,encourage,ermutigen,encourager,incoraggiare,aanmoedigen,encorajar,animar
3435,kid,Kind,enfant,bambino,kind,criança,niño
3437,inspection,Inspektion,inspection,ispezione,inspectie,inspeção,inspección
3438,consumer,Verbraucher,consommateur,consumatore,consument,consumidor,consumidor
3439,cancel,abbrechen,annuler,annullare,annuleren,cancelar,cancelar
3441,territory,Gebiet,territoire,territorio,gebied,território,territorio
3442,transaction,Transaktion,transaction,transazione,transactie,transação,transacción
3444,weapon,Waffe,arme,arma,wapen,arma,arma
3445,paint,Farbe,peinture,vernice,verf,tinta,pintura
3446,delay,Verzögerung,retard,ritardo,vertraging,atraso,retraso
